"P","L","Ecoef","inv","Lcost","volcost","grpsz","N","expected_vol","Leader_payment","Non_Ldr_return","Ldr_return","Flwr_return","Acephalous_return","GrpBenefitToLdr","LdrNetBenefit","volunteering","LFReturnRatio"
0,7,0.1,0.1,0,0,5,100,1,0,30.5260593005785,5.7,5.7,5,3.5,0,"all",1
1,7,0.1,0.1,0,0,5,100,0.418047535819435,0,30.5260593005785,6.6,6.7,6,3.4,-0.0999999999999996,"common",0.985074626865672
3,7,0.1,0.1,0,0,5,100,0.219224337330973,0,30.5260593005785,8.4,8.7,8,3.2,-0.299999999999999,"rare",0.96551724137931
7,7,0.1,0.1,0,0,5,100,0,0,30.5260593005785,12,12.7,12,2.8,-0.699999999999999,"none",0.94488188976378
12,7,0.1,0.1,0,0,5,100,0,0,30.5260593005785,16.5,17.7,17,2.3,-1.2,"none",0.932203389830509
15,7,0.1,0.1,0,0,5,100,0,0,30.5260593005785,19.2,20.7,20,2,-1.5,"none",0.927536231884058
0,12,0.1,0.1,0,0,5,100,1,0,30.5260593005785,6.2,6.2,5,6,-8.88178419700125e-16,"all",1
1,12,0.1,0.1,0,0,5,100,0.490703515177174,0,30.5260593005785,7.1,7.2,6,5.9,-0.0999999999999996,"common",0.986111111111111
3,12,0.1,0.1,0,0,5,100,0.32748319712189,0,30.5260593005785,8.9,9.2,8,5.7,-0.299999999999999,"rare",0.967391304347826
7,12,0.1,0.1,0,0,5,100,0.145433961334673,0,30.5260593005785,12.5,13.2,12,5.3,-0.699999999999999,"rare",0.946969696969697
12,12,0.1,0.1,0,0,5,100,0,0,30.5260593005785,17,18.2,17,4.8,-1.2,"none",0.934065934065934
15,12,0.1,0.1,0,0,5,100,0,0,30.5260593005785,19.7,21.2,20,4.5,-1.5,"none",0.929245283018868
0,15,0.1,0.1,0,0,5,100,1,0,30.5260593005785,6.5,6.5,5,7.5,0,"all",1
1,15,0.1,0.1,0,0,5,100,0.517438307925082,0,30.5260593005785,7.4,7.5,6,7.40000000000001,-0.100000000000001,"common",0.986666666666667
3,15,0.1,0.1,0,0,5,100,0.366060483287332,0,30.5260593005785,9.2,9.5,8,7.2,-0.300000000000001,"common",0.968421052631579
7,15,0.1,0.1,0,0,5,100,0.2,0,30.5260593005785,12.8,13.5,12,6.8,-0.699999999999999,"rare",0.948148148148148
12,15,0.1,0.1,0,0,5,100,0.057516475293288,0,30.5260593005785,17.3,18.5,17,6.3,-1.2,"rare",0.935135135135135
15,15,0.1,0.1,0,0,5,100,0,0,30.5260593005785,20,21.5,20,6,-1.5,"none",0.930232558139535
0,1,0.4,0.1,0,0,5,100,1,0,30.5260593005785,5.1,5.1,5,0.5,0,"all",1
1,1,0.4,0.1,0,0,5,100,0,0,30.5260593005785,6,6.1,6,0.399999999999999,-0.0999999999999996,"none",0.983606557377049
3,1,0.4,0.1,0,0,5,100,0,0,30.5260593005785,7.8,8.1,8,0.199999999999996,-0.3,"none",0.962962962962963
7,1,0.4,0.1,0,0,5,100,0,0,30.5260593005785,11.4,12.1,12,-0.200000000000003,-0.700000000000001,"none",0.942148760330578
12,1,0.4,0.1,0,0,5,100,0,0,30.5260593005785,15.9,17.1,17,-0.699999999999989,-1.2,"none",0.929824561403509
15,1,0.4,0.1,0,0,5,100,0,0,30.5260593005785,18.6,20.1,20,-1,-1.5,"none",0.925373134328358
0,3,0.4,0.1,0,0,5,100,1,0,30.5260593005785,5.3,5.3,5,1.5,0,"all",1
1,3,0.4,0.1,0,0,5,100,0.272319174990503,0,30.5260593005785,6.2,6.3,6,1.4,-0.0999999999999996,"rare",0.984126984126984
3,3,0.4,0.1,0,0,5,100,0,0,30.5260593005785,8,8.3,8,1.2,-0.300000000000001,"none",0.963855421686747
7,3,0.4,0.1,0,0,5,100,0,0,30.5260593005785,11.6,12.3,12,0.800000000000004,-0.700000000000001,"none",0.943089430894309
12,3,0.4,0.1,0,0,5,100,0,0,30.5260593005785,16.1,17.3,17,0.300000000000011,-1.2,"none",0.930635838150289
15,3,0.4,0.1,0,0,5,100,0,0,30.5260593005785,18.8,20.3,20,0,-1.5,"none",0.926108374384236
0,7,0.4,0.1,0,0,5,100,1,0,30.5260593005785,5.7,5.7,5,3.5,0,"all",1
1,7,0.4,0.1,0,0,5,100,0.418047535819435,0,30.5260593005785,6.6,6.7,6,3.4,-0.0999999999999996,"common",0.985074626865672
3,7,0.4,0.1,0,0,5,100,0.219224337330973,0,30.5260593005785,8.4,8.7,8,3.2,-0.299999999999999,"rare",0.96551724137931
7,7,0.4,0.1,0,0,5,100,0,0,30.5260593005785,12,12.7,12,2.8,-0.699999999999999,"none",0.94488188976378
12,7,0.4,0.1,0,0,5,100,0,0,30.5260593005785,16.5,17.7,17,2.3,-1.2,"none",0.932203389830509
15,7,0.4,0.1,0,0,5,100,0,0,30.5260593005785,19.2,20.7,20,2,-1.5,"none",0.927536231884058
0,12,0.4,0.1,0,0,5,100,1,0,30.5260593005785,6.2,6.2,5,6,-8.88178419700125e-16,"all",1
1,12,0.4,0.1,0,0,5,100,0.490703515177174,0,30.5260593005785,7.1,7.2,6,5.9,-0.0999999999999996,"common",0.986111111111111
3,12,0.4,0.1,0,0,5,100,0.32748319712189,0,30.5260593005785,8.9,9.2,8,5.7,-0.299999999999999,"rare",0.967391304347826
7,12,0.4,0.1,0,0,5,100,0.145433961334673,0,30.5260593005785,12.5,13.2,12,5.3,-0.699999999999999,"rare",0.946969696969697
12,12,0.4,0.1,0,0,5,100,0,0,30.5260593005785,17,18.2,17,4.8,-1.2,"none",0.934065934065934
15,12,0.4,0.1,0,0,5,100,0,0,30.5260593005785,19.7,21.2,20,4.5,-1.5,"none",0.929245283018868
0,15,0.4,0.1,0,0,5,100,1,0,30.5260593005785,6.5,6.5,5,7.5,0,"all",1
1,15,0.4,0.1,0,0,5,100,0.517438307925082,0,30.5260593005785,7.4,7.5,6,7.40000000000001,-0.100000000000001,"common",0.986666666666667
3,15,0.4,0.1,0,0,5,100,0.366060483287332,0,30.5260593005785,9.2,9.5,8,7.2,-0.300000000000001,"common",0.968421052631579
7,15,0.4,0.1,0,0,5,100,0.2,0,30.5260593005785,12.8,13.5,12,6.8,-0.699999999999999,"rare",0.948148148148148
12,15,0.4,0.1,0,0,5,100,0.057516475293288,0,30.5260593005785,17.3,18.5,17,6.3,-1.2,"rare",0.935135135135135
15,15,0.4,0.1,0,0,5,100,0,0,30.5260593005785,20,21.5,20,6,-1.5,"none",0.930232558139535
0,1,0.9,0.1,0,0,5,100,1,0,30.5260593005785,5.1,5.1,5,0.5,0,"all",1
1,1,0.9,0.1,0,0,5,100,0,0,30.5260593005785,6,6.1,6,0.399999999999999,-0.0999999999999996,"none",0.983606557377049
3,1,0.9,0.1,0,0,5,100,0,0,30.5260593005785,7.8,8.1,8,0.199999999999996,-0.3,"none",0.962962962962963
7,1,0.9,0.1,0,0,5,100,0,0,30.5260593005785,11.4,12.1,12,-0.200000000000003,-0.700000000000001,"none",0.942148760330578
12,1,0.9,0.1,0,0,5,100,0,0,30.5260593005785,15.9,17.1,17,-0.699999999999989,-1.2,"none",0.929824561403509
15,1,0.9,0.1,0,0,5,100,0,0,30.5260593005785,18.6,20.1,20,-1,-1.5,"none",0.925373134328358
0,3,0.9,0.1,0,0,5,100,1,0,30.5260593005785,5.3,5.3,5,1.5,0,"all",1
1,3,0.9,0.1,0,0,5,100,0.272319174990503,0,30.5260593005785,6.2,6.3,6,1.4,-0.0999999999999996,"rare",0.984126984126984
3,3,0.9,0.1,0,0,5,100,0,0,30.5260593005785,8,8.3,8,1.2,-0.300000000000001,"none",0.963855421686747
7,3,0.9,0.1,0,0,5,100,0,0,30.5260593005785,11.6,12.3,12,0.800000000000004,-0.700000000000001,"none",0.943089430894309
12,3,0.9,0.1,0,0,5,100,0,0,30.5260593005785,16.1,17.3,17,0.300000000000011,-1.2,"none",0.930635838150289
15,3,0.9,0.1,0,0,5,100,0,0,30.5260593005785,18.8,20.3,20,0,-1.5,"none",0.926108374384236
0,7,0.9,0.1,0,0,5,100,1,0,30.5260593005785,5.7,5.7,5,3.5,0,"all",1
1,7,0.9,0.1,0,0,5,100,0.418047535819435,0,30.5260593005785,6.6,6.7,6,3.4,-0.0999999999999996,"common",0.985074626865672
3,7,0.9,0.1,0,0,5,100,0.219224337330973,0,30.5260593005785,8.4,8.7,8,3.2,-0.299999999999999,"rare",0.96551724137931
7,7,0.9,0.1,0,0,5,100,0,0,30.5260593005785,12,12.7,12,2.8,-0.699999999999999,"none",0.94488188976378
12,7,0.9,0.1,0,0,5,100,0,0,30.5260593005785,16.5,17.7,17,2.3,-1.2,"none",0.932203389830509
15,7,0.9,0.1,0,0,5,100,0,0,30.5260593005785,19.2,20.7,20,2,-1.5,"none",0.927536231884058
0,12,0.9,0.1,0,0,5,100,1,0,30.5260593005785,6.2,6.2,5,6,-8.88178419700125e-16,"all",1
1,12,0.9,0.1,0,0,5,100,0.490703515177174,0,30.5260593005785,7.1,7.2,6,5.9,-0.0999999999999996,"common",0.986111111111111
3,12,0.9,0.1,0,0,5,100,0.32748319712189,0,30.5260593005785,8.9,9.2,8,5.7,-0.299999999999999,"rare",0.967391304347826
7,12,0.9,0.1,0,0,5,100,0.145433961334673,0,30.5260593005785,12.5,13.2,12,5.3,-0.699999999999999,"rare",0.946969696969697
12,12,0.9,0.1,0,0,5,100,0,0,30.5260593005785,17,18.2,17,4.8,-1.2,"none",0.934065934065934
15,12,0.9,0.1,0,0,5,100,0,0,30.5260593005785,19.7,21.2,20,4.5,-1.5,"none",0.929245283018868
0,15,0.9,0.1,0,0,5,100,1,0,30.5260593005785,6.5,6.5,5,7.5,0,"all",1
